"CLIENTNUM","Target","Customer_Age","Gender","Dependent_count","Education_Level","Marital_Status","Income_Category","Card_Category","Months_on_book","Total_Relationship_Count","Months_Inactive_12_mon","Contacts_Count_12_mon","Credit_Limit","Total_Revolving_Bal","Avg_Open_To_Buy","Total_Trans_Amt","Total_Trans_Ct","Avg_Utilization_Ratio","Flag_Muestra"
"708082083","0","45","F","3","High School","Married","Less than $40K","Blue","36","4","3","3","3544.0","1661","1883.0","15149","111","0.469","1"
"708083283","1","58","M","0","Unknown","Single","$40K - $60K","Blue","45","3","1","3","3421.0","2517","904.0","992","21","0.736","1"
"708084558","1","46","M","3","Doctorate","Divorced","$80K - $120K","Blue","38","6","3","3","8258.0","1771","6487.0","1447","23","0.214","1"
"708098133","0","32","F","0","Graduate","Married","Less than $40K","Blue","19","6","1","0","2834.0","1418","1416.0","1598","39","0.5","1"
"708103608","0","52","M","1","High School","Single","$60K - $80K","Blue","45","1","5","1","11898.0","2517","9381.0","15798","128","0.212","1"
"708108333","1","47","F","3","Graduate","Married","Unknown","Blue","36","3","3","1","5590.0","0","5590.0","1507","32","0.0","1"
"708117933","1","44","F","2","Graduate","Divorced","Less than $40K","Blue","36","3","2","3","1880.0","0","1880.0","2469","34","0.0","1"
"708121908","1","48","M","4","Unknown","Married","$80K - $120K","Blue","36","2","3","2","22917.0","0","22917.0","2045","45","0.0","1"
"708129933","0","45","F","4","Graduate","Single","Less than $40K","Blue","36","5","3","2","2072.0","1544","528.0","4210","64","0.745","1"
"708132783","0","47","F","3","Uneducated","Single","Unknown","Blue","42","6","2","2","16411.0","1179","15232.0","3929","71","0.072","1"
"708139833","1","40","M","3","Graduate","Unknown","$60K - $80K","Blue","30","4","2","3","6391.0","0","6391.0","2323","44","0.0","1"
"708151008","0","49","F","4","Graduate","Married","$40K - $60K","Blue","41","5","1","2","6250.0","644","5606.0","2433","41","0.103","1"
"708152358","1","54","M","1","Post-Graduate","Unknown","$80K - $120K","Blue","36","1","3","2","18512.0","1664","16848.0","8019","57","0.09","0"
"708154833","1","39","F","2","Graduate","Single","Less than $40K","Blue","27","1","3","3","1438.3","811","627.3","2336","46","0.564","1"
"708158133","1","45","M","3","College","Married","$80K - $120K","Blue","36","3","2","2","3031.0","2517","514.0","2188","50","0.83","1"
"708160008","0","44","M","1","Uneducated","Married","$120K +","Blue","33","2","2","3","34516.0","1058","33458.0","7412","84","0.031","1"
"708170508","1","38","M","2","Graduate","Married","$60K - $80K","Blue","36","2","3","2","1438.3","0","1438.3","1651","42","0.0","1"
"708186933","1","33","M","1","Graduate","Single","$60K - $80K","Blue","36","4","3","2","1819.0","725","1094.0","2254","45","0.399","1"
"708190158","1","38","F","3","High School","Single","Less than $40K","Blue","26","2","3","0","2920.0","2426","494.0","2750","41","0.831","1"
"708195633","0","40","M","2","High School","Unknown","$80K - $120K","Silver","32","5","2","3","34516.0","1182","33334.0","2440","54","0.034","1"
